Citizenship in Chicago Community Areas,,,,,,,,,,,,,,,,,
,1930,1940,1950,1960,1970,1980,1990,2000,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020
1. Rogers Park,,,,,,,,,,,,,,,,,
Total,"  57,094 ","  60,565 ","  62,252 ","  56,888 ","  60,759 ","  55,525 ","  60,378 ","  63,484 ","  57,559 ","  57,165 ","  55,053 ","  54,402 ","  55,500 ","55,062","54,872","55,475","55,643"
U.S. citizen by birth,"  48,093 ","  51,146 ","  53,182 ","  46,837 ","  48,715 ","  39,461 ","  42,787 ","  42,011 ","  40,862 ","  40,413 ","  39,191 ","  38,544 ","  40,834 ","39,914","39,742","40,524","41,124"
Foreign born,"  9,001 ","  9,419 ","  9,070 ","  10,051 ","  12,044 ","  16,064 ","  17,591 ","  21,473 ","  16,697 ","  16,752 ","  15,862 ","  15,858 ","  14,666 ","15,148","15,130","14,951","14,519"
U.S. citizen by naturalization,,,,,,,"  5,428 ","  5,448 ","  5,318 ","  5,434 ","  5,636 ","  5,426 ","  5,213 ","5,482","5,424","5,582","5,574"
Not a U.S. citizen,,,,,,,"  12,163 ","  16,025 ","  11,379 ","  11,318 ","  10,226 ","  10,432 ","  9,453 ","9,666","9,706","9,369","8,945"
Percent foreign born,15.80%,15.60%,14.60%,17.7%,19.8%,28.9%,29.1%,33.8%,29.0%,29.3%,28.8%,29.0%,26.4%,27.5%,27.6%,27.0%,26.1%
,,,,,,,,,,,,,,,,,
2. West Ridge,,,,,,,,,,,,,,,,,
Total,"  39,759 ","  43,553 ","  47,930 ","  63,884 ","  65,477 ","  61,129 ","  65,374 ","  73,199 ","  73,705 ","  73,305 ","  73,019 ","  72,211 ","  73,723 ","76,215","77,212","78,466","78,763"
U.S. citizen by birth,"  32,806 ","  37,213 ","  41,356 ","  52,246 ","  50,830 ","  41,412 ","  39,969 ","  39,808 ","  40,418 ","  39,453 ","  40,541 ","  40,312 ","  42,210 ","43,364","44,493","44,258","46,591"
Foreign born,"  6,953 ","  6,340 ","  6,574 ","  11,638 ","  14,647 ","  19,717 ","  25,405 ","  33,391 ","  33,287 ","  33,852 ","  32,478 ","  31,899 ","  31,513 ","32,851","32,719","34,208","32,172"
