"Household Income in Chicago Community Areas
Note: All median income data are adjusted to year 2020 dollars.
",,,,,,,,,,,,,
,1970,1980,1990,2000,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020
1. Rogers Park,,,,,,,,,,,,,
Total,"26,926","26,245","25,317","25,503","23,981","24,004","23,487","23,820","24,258","24,088","24,282","24,832","24,916"
"Less than $10,000",,,"4,294","3,624","3,062","3,079","2,946","3,096","3,034","3,105","3,186","3,083","2,652"
"$10,000 to $14,999",,,"3,369","2,192","1,969","1,913","1,753","1,675","1,856","1,662","1,513","1,499","1,836"
"$15,000 to $19,999",,,"2,732","2,115","1,546","1,535","1,903","1,838","1,843","1,733","1,573","1,356","1,097"
"$20,000 to $24,999",,,"2,806","1,865","1,515","1,726","1,900","1,809","1,825","1,679","1,482","1,407","1,434"
"$25,000 to $29,999",,,"2,394","2,170","1,515","1,405","1,334","1,548","1,541","1,233","1,319","1,282","1,086"
"$30,000 to $34,999",,,"2,079","2,197","1,298","1,249","1,100","1,281","1,252","1,410","1,426","1,587","1,449"
"$35,000 to $39,999",,,"1,758","1,810","1,271","1,233","1,377","1,491","1,526","1,488","1,500","1,449","1,371"
"$40,000 to $44,999",,,"1,254","1,566","1,065","1,005","1,035",984,996,"1,188","1,202","1,185","1,322"
"$45,000 to $49,999",,,974,"1,190",964,"1,012",844,867,953,"1,027",895,"1,034",848
"$50,000 to $59,999",,,"1,474","1,917","1,692","1,834","1,794","1,856","1,878","1,643","1,805","2,026","1,958"
"$60,000 to $74,999",,,988,"1,807","2,334","2,337","2,042","2,079","2,170","2,200","2,062","2,115","2,106"
"$75,000 to $99,999",,,841,"1,382","1,925","2,109","2,092","2,128","2,167","2,275","2,378","2,517","3,088"
"$100,000 to $124,999",,,133,785,"1,295","1,397","1,207","1,327","1,220","1,373","1,616","1,864","1,791"
"$125,000 to $149,999",,,102,331,1285,1165,1002,664,724,742,625,689,1022
"$150,000 to $199,999",,,119,291,717,615,640,700,769,727,919,963,1012
"$200,000 or more",,,,261,528,390,518,477,504,603,781,776,844
Median household income,"$52,698","$46,206","$48,140","$49,055","$44,137","$43,712","$41,260","$40,433","$40,277","$41,001","$41,740","$43,655","$46,164"
,,,,,,,,,,,,,
2. West Ridge,,,,,,,,,,,,,
Total,"24,015","24,962","25,078","25,536","24,402","24,169","24,245","24,406","24,782","25,194","25,602","25,714","25,869"
"Less than $10,000",,,"3,494","2,383","1,873","2,166","2,052","2,303","2,284","2,103","1,858","1,768","1,447"
"$10,000 to $14,999",,,1953,1882,1519,1164,1101,986,863,715,936,940,1039
"$15,000 to $19,999",,,"2,210","1,415","1,601","1,846","1,831","1,846","1,604","1,478","1,380","1,316","1,200"
"$20,000 to $24,999",,,"2,254","1,618","1,288","1,077","1,253","1,495","1,429","1,593","1,511","1,416","1,189"
"$25,000 to $29,999",,,"2,010","1,518","1,441","1,396",999,"1,176","1,290","1,386","1,503","1,413","1,152"
"$30,000 to $34,999",,,"2,036","1,786","1,473","1,201","1,346","1,343","1,314","1,384","1,392","1,556","1,310"
"$35,000 to $39,999",,,"1,868","1,832","1,411","1,283","1,400","1,415","1,231","1,255","1,316","1,139","1,161"
"$40,000 to $44,999",,,"1,562","1,340","1,514","1,394","1,364","1,395","1,550","1,609","1,347","1,325","1,315"
"$45,000 to $49,999",,,"1,342","1,478","1,102","1,361","1,266","1,118","1,116","1,106","1,114","1,176","1,134"
"$50,000 to $59,999",,,"2,051","2,417","2,019","1,836","2,033","1,876","1,796","1,942","2,178","2,084","2,504"
"$60,000 to $74,999",,,"1,935","2,739","2,176","2,329","2,245","1,993","2,169","2,275","2,561","2,494","2,500"
"$75,000 to $99,999",,,"1,512","2,436","2,626","2,671","2,718","2,671","2,652","2,675","2,532","2,691","3,021"
"$100,000 to $124,999",,,450,"1,238","1,510","1,694","1,906","1,953","2,164","1,978","2,015","2,159","2,029"
"$125,000 to $149,999",,,160,583,"1,148","1,029","1,018","1,111","1,138","1,301","1,370","1,329","1,457"
"$150,000 to $199,999",,,241,420,"1,089","1,019","1,042",895,"1,178","1,221","1,392","1,488","1,639"
"$200,000 or more",,,,451,612,703,671,830,"1,004","1,173","1,197","1,420","1,772"
Median household income,"$75,746","$68,071","$63,257","$63,868","$51,055","$52,079","$52,359","$50,191","$52,364","$52,384","$53,299","$54,221","$57,621"
,,,,,,,,,,,,,
3. Uptown,,,,,,,,,,,,,
Total,"33,116","28,259","28,094","30,676","29,441","29,203","29,295","29,231","29,236","29,341","29,742","30,510","30,970"
"Less than $10,000",,,"8,554","6,147","5,197","4,934","4,816","4,566","4,517","3,764","3,676","3,470","3,200"
"$10,000 to $14,999",,,"3,002","2,253","1,997","2,285","2,178","1,955","1,657","1,564","1,506","1,574","1,838"
"$15,000 to $19,999",,,"2,627","2,100","2,042","1,835","1,846","1,775","1,735","1,609","1,459","1,561","1,286"
"$20,000 to $24,999",,,"2,371","1,824","1,304","1,378","1,480","1,615","1,720","1,730","1,833","1,576","1,186"
"$25,000 to $29,999",,,"2,450","1,927","1,160","1,152","1,210","1,370","1,390","1,517","1,460","1,572","1,380"
"$30,000 to $34,999",,,"1,933","2,163","1,222","1,224","1,179","1,208","1,241","1,285","1,150","1,128","1,055"
"$35,000 to $39,999",,,"1,340","1,538","1,052",989,"1,056",846,952,"1,077","1,193","1,203","1,157"
"$40,000 to $44,999",,,986,1438,1062,908,1029,1155,1287,1193,1037,991,1117
"$45,000 to $49,999",,,774,1198,896,896,883,883,924,995,1180,1125,1198
"$50,000 to $59,999",,,"1,393","2,401","2,088","1,988","1,913","1,891","1,981","2,148","1,996","2,065","2,625"
"$60,000 to $74,999",,,"1,170","2,470","2,069","2,161","2,162","2,206","2,340","2,268","2,240","2,574","2,809"
"$75,000 to $99,999",,,741,"2,197","3,299","3,384","3,387","3,244","3,120","3,100","3,202","3,506","3,677"
"$100,000 to $124,999",,,379,"1,181","2,170","2,230","2,215","2,334","2,136","2,372","2,332","2,319","2,268"
"$125,000 to $149,999",,,162,660,"1,095","1,122","1,069","1,045","1,157","1,193","1,504","1,729","1,874"
"$150,000 to $199,999",,,212,622,"1,608","1,494","1,426","1,359","1,354","1,731","1,828","1,978","2,184"
"$200,000 or more",,,,557,"1,180","1,223","1,446","1,779","1,725","1,795","2,146","2,139","2,116"
Median household income,"$37,188","$35,805","$39,699","$50,184","$48,891","$49,266","$48,305","$49,811","$49,123","$52,189","$53,188","$55,478","$57,576"
,,,,,,,,,,,,,
4. Lincoln Square,,,,,,,,,,,,,
Total,"18,992","18,753","18,163","18,655","17,622","17,666","17,723","18,253","18,432","18,296","18,349","18,347","18,481"
"Less than $10,000",,,2542,1431,1205,1357,1277,1277,1022,935,744,673,768
"$10,000 to $14,999",,,1908,1134,590,609,636,712,741,676,541,356,329
"$15,000 to $19,999",,,2084,1223,865,857,918,826,693,609,588,435,417
"$20,000 to $24,999",,,2041,1087,839,641,778,758,807,634,650,619,517
"$25,000 to $29,999",,,1632,1492,791,860,726,808,785,676,773,910,883
"$30,000 to $34,999",,,1694,1316,640,612,590,633,708,652,707,642,660
"$35,000 to $39,999",,,1260,1399,774,842,897,825,888,769,669,591,644
"$40,000 to $44,999",,,1115,1233,936,1014,831,833,721,780,780,733,754
