,Asian,Black,Latin,White,Other,Not High School,Estudios Superiores,Numer_below_pov,Percent_below_poverty,Naturales,Extrangeros,Nacionalizados,No Ciudadano,Menos_10k,15k-20k,20k-25k,25k-30k,30k-35k,35k-40k,45k-50k,50k-60k,60k-75k,75k-100k,100k-125k,125k-150k,150k-200k,Más_200k
1,3330.3636363636365,15057.363636363636,13035.545454545454,22840.272727272728,2027.909090909091,11.690107768180988,47.2,11310.0,21.6,46591.0,32172.0,17406.0,14766.0,2652.0,1097.0,1434.0,1086.0,1449.0,1371.0,848.0,1958.0,2106.0,3088.0,1791.0,1022.0,1012.0,844.0
2,17028.18181818182,8241.09090909091,13928.818181818182,32406.636363636364,3100.7272727272725,17.394901394901392,41.7,13204.0,17.0,45193.0,14260.0,7862.0,6398.0,1447.0,1200.0,1189.0,1152.0,1310.0,1161.0,1134.0,2504.0,2500.0,3021.0,2029.0,1457.0,1639.0,1772.0
3,6066.818181818182,11063.454545454546,8167.727272727273,30049.454545454544,1896.2727272727273,9.804719283970707,57.7,12142.0,20.9,32642.0,8708.0,4496.0,4212.0,3200.0,1286.0,1186.0,1380.0,1055.0,1157.0,1198.0,2625.0,2809.0,3677.0,2268.0,1874.0,2184.0,2116.0
4,4422.727272727273,1499.4545454545455,7600.090909090909,25833.727272727272,1555.6363636363637,6.415046545500602,66.0,3080.0,7.6,32941.0,3201.0,2176.0,1025.0,768.0,417.0,517.0,883.0,660.0,644.0,842.0,1129.0,1712.0,2481.0,1983.0,1707.0,1476.0,2179.0
5,1569.5454545454545,736.0,4636.909090909091,26356.454545454544,1180.4545454545455,3.4181876400896574,77.7,1560.0,4.3,89194.0,12234.0,6537.0,5697.0,323.0,163.0,373.0,191.0,198.0,463.0,144.0,472.0,833.0,1708.0,1513.0,1041.0,1938.0,4495.0
6,6485.818181818182,3661.3636363636365,7880.090909090909,77716.72727272728,2631.5454545454545,1.8276659483891313,82.6,8573.0,8.5,60432.0,9136.0,4287.0,4849.0,2397.0,1078.0,986.0,1161.0,1389.0,1281.0,1507.0,3664.0,5196.0,7042.0,5292.0,4033.0,5050.0,10100.0
7,4016.909090909091,2999.4545454545455,4254.636363636364,53829.90909090909,1677.8181818181818,1.96126905644829,85.3,5946.0,9.0,81855.0,16673.0,8179.0,8494.0,2136.0,341.0,590.0,675.0,564.0,431.0,641.0,1201.0,2139.0,3862.0,3037.0,2434.0,3643.0,8967.0
8,9684.363636363636,8339.181818181818,4728.545454545455,60943.545454545456,2133.3636363636365,1.8510910804475484,83.0,9283.0,9.6,10009.0,993.0,703.0,290.0,4293.0,904.0,1303.0,911.0,1342.0,1026.0,1065.0,2650.0,4879.0,7276.0,5555.0,4142.0,7081.0,15683.0
9,260.54545454545456,85.27272727272727,889.3636363636364,9816.363636363636,194.54545454545453,4.349981410335854,49.5,359.0,3.3,31656.0,6432.0,4473.0,1959.0,139.0,212.0,52.0,101.0,109.0,38.0,50.0,124.0,280.0,612.0,522.0,365.0,614.0,1021.0
10,1452.7272727272727,273.54545454545456,4656.363636363636,29951.727272727272,738.1818181818181,7.2673167933457625,41.9,2611.0,7.0,20151.0,7043.0,4575.0,2468.0,605.0,567.0,308.0,450.0,298.0,583.0,290.0,839.0,1269.0,1998.0,1608.0,1434.0,2016.0,1548.0
